"","ID","RYHMA","HARJOITUS","VETO","UUPUMUS","EPAMIELLYTTAVYYS","KIIHTYNEISYYS"
"316",14,"MICT","H1","V4",15,3,2
"317",15,"MICT","H1","V1",14,5,2
"318",15,"MICT","H1","V2",15,6,2
"319",15,"MICT","H1","V3",17,8,3
"320",15,"MICT","H1","V4",16,7,3
"321",16,"MICT","H1","V1",15,5,5
"322",16,"MICT","H1","V2",15,5,6
"323",16,"MICT","H1","V3",15,6,6
"324",16,"MICT","H1","V4",16,7,7
"325",17,"MICT","H1","V1",13,1,1
"326",17,"MICT","H1","V2",13,1,1
"327",17,"MICT","H1","V3",15,2,1
"328",17,"MICT","H1","V4",13,1,1
"329",18,"MICT","H1","V1",15,5,2
"330",18,"MICT","H1","V2",17,6,3
"331",18,"MICT","H1","V3",17,7,4
"332",18,"MICT","H1","V4",17,7,4
"333",19,"MICT","H1","V1",15,5,3
"334",19,"MICT","H1","V2",16,5,5
"335",19,"MICT","H1","V3",18,6,5
"336",19,"MICT","H1","V4",19,7,5
"337",20,"MICT","H1","V1",13,2,4
"338",20,"MICT","H1","V2",14,3,5
"339",20,"MICT","H1","V3",15,4,5
"340",20,"MICT","H1","V4",15,5,6
"341",21,"MICT","H1","V1",15,6,3
"342",21,"MICT","H1","V2",16,7,4
"343",21,"MICT","H1","V3",16,7,4
"344",21,"MICT","H1","V4",17,7,4
"345",22,"MICT","H1","V1",13,3,2
"346",22,"MICT","H1","V2",13,3,3
"347",22,"MICT","H1","V3",15,5,3
"348",22,"MICT","H1","V4",15,5,3
"349",23,"MICT","H1","V1",13,3,2
"350",23,"MICT","H1","V2",13,3,2
"351",23,"MICT","H1","V3",14,4,2
"352",23,"MICT","H1","V4",15,4,2
"353",24,"MICT","H1","V1",14,6,3
"354",24,"MICT","H1","V2",15,6,3
"355",24,"MICT","H1","V3",15,9,3
"356",24,"MICT","H1","V4",15,9,3
"357",25,"MICT","H1","V1",15,4,7
"358",25,"MICT","H1","V2",15,5,7
"359",25,"MICT","H1","V3",16,6,8
"360",25,"MICT","H1","V4",17,8,8
"361",26,"MICT","H1","V1",13,4,2
"362",26,"MICT","H1","V2",14,5,3
"363",26,"MICT","H1","V3",15,5,3
"364",26,"MICT","H1","V4",15,6,3
"365",14,"MICT","H2","V1",13,3,2
"366",14,"MICT","H2","V2",13,3,2
"367",14,"MICT","H2","V3",14,3,2
"368",14,"MICT","H2","V4",15,3,2
"369",15,"MICT","H2","V1",15,5,3
"370",15,"MICT","H2","V2",16,5,3
"371",15,"MICT","H2","V3",14,4,3
"372",15,"MICT","H2","V4",15,5,4
"373",16,"MICT","H2","V1",13,5,4
"374",16,"MICT","H2","V2",14,5,5
"375",16,"MICT","H2","V3",16,6,7
"376",16,"MICT","H2","V4",15,6,6
"377",17,"MICT","H2","V1",13,1,1
"378",17,"MICT","H2","V2",14,2,1
"379",17,"MICT","H2","V3",14,2,1
"380",17,"MICT","H2","V4",14,2,1
"381",18,"MICT","H2","V1",13,4,2
"382",18,"MICT","H2","V2",14,5,3
"383",18,"MICT","H2","V3",16,6,3
"384",18,"MICT","H2","V4",16,5,4
"385",19,"MICT","H2","V1",10,3,2
"386",19,"MICT","H2","V2",13,4,4
"387",19,"MICT","H2","V3",14,5,4
"388",19,"MICT","H2","V4",14,6,5
"389",20,"MICT","H2","V1",14,4,4
"390",20,"MICT","H2","V2",15,4,5
"391",20,"MICT","H2","V3",15,4,5
"392",20,"MICT","H2","V4",15,5,6
"393",21,"MICT","H2","V1",15,7,3
"394",21,"MICT","H2","V2",16,7,3
"395",21,"MICT","H2","V3",17,8,3
"396",21,"MICT","H2","V4",16,7,3
"397",22,"MICT","H2","V1",11,3,2
"398",22,"MICT","H2","V2",11,3,3
"399",22,"MICT","H2","V3",13,5,4
"400",22,"MICT","H2","V4",13,4,3
"401",23,"MICT","H2","V1",13,4,3
"402",23,"MICT","H2","V2",13,2,2
"403",23,"MICT","H2","V3",13,2,2
"404",23,"MICT","H2","V4",13,2,1
"405",24,"MICT","H2","V1",13,2,1
"406",24,"MICT","H2","V2",14,5,4
"407",24,"MICT","H2","V3",16,6,2
"408",24,"MICT","H2","V4",17,8,3
"409",25,"MICT","H2","V1",14,6,7
"410",25,"MICT","H2","V2",15,6,6
"411",25,"MICT","H2","V3",16,7,8
"412",25,"MICT","H2","V4",16,8,8
"413",26,"MICT","H2","V1",13,3,2
"414",26,"MICT","H2","V2",13,3,2
"415",26,"MICT","H2","V3",13,3,2
"416",26,"MICT","H2","V4",13,4,2
"417",14,"MICT","H3","V1",14,3,2
"418",14,"MICT","H3","V2",14,3,2
"419",14,"MICT","H3","V3",14,3,2
"420",14,"MICT","H3","V4",14,3,2
"421",15,"MICT","H3","V1",14,4,3
"422",15,"MICT","H3","V2",14,4,2
"423",15,"MICT","H3","V3",15,5,3
"424",15,"MICT","H3","V4",15,4,2
"425",16,"MICT","H3","V1",13,4,4
"426",16,"MICT","H3","V2",14,5,5
"427",16,"MICT","H3","V3",14,5,5
"428",16,"MICT","H3","V4",15,6,6
"429",17,"MICT","H3","V1",13,2,1
"430",17,"MICT","H3","V2",13,2,1
"431",17,"MICT","H3","V3",13,2,1
"432",17,"MICT","H3","V4",15,3,2
"433",18,"MICT","H3","V1",13,5,3
"434",18,"MICT","H3","V2",16,6,4
"435",18,"MICT","H3","V3",17,7,5
"436",18,"MICT","H3","V4",17,7,5
"437",19,"MICT","H3","V1",9,3,2
"438",19,"MICT","H3","V2",11,4,3
"439",19,"MICT","H3","V3",11,4,3
"440",19,"MICT","H3","V4",11,5,4
"441",20,"MICT","H3","V1",13,3,3
"442",20,"MICT","H3","V2",13,3,3
"443",20,"MICT","H3","V3",14,4,4
"444",20,"MICT","H3","V4",14,4,5
"445",21,"MICT","H3","V1",15,7,3
"446",21,"MICT","H3","V2",16,7,3
"447",21,"MICT","H3","V3",16,6,3
"448",21,"MICT","H3","V4",16,7,3
"449",22,"MICT","H3","V1",11,2,3
"450",22,"MICT","H3","V2",13,4,3
"451",22,"MICT","H3","V3",15,5,4
"452",22,"MICT","H3","V4",15,6,5
"453",23,"MICT","H3","V1",11,2,1
"454",23,"MICT","H3","V2",11,2,1
"455",23,"MICT","H3","V3",11,3,1
"456",23,"MICT","H3","V4",12,3,1
"457",24,"MICT","H3","V1",13,5,2
"458",24,"MICT","H3","V2",13,5,2
"459",24,"MICT","H3","V3",15,7,2
"460",24,"MICT","H3","V4",16,7,2
"461",25,"MICT","H3","V1",15,4,7
"462",25,"MICT","H3","V2",15,4,7
"463",25,"MICT","H3","V3",16,5,7
"464",25,"MICT","H3","V4",15,6,7
"465",26,"MICT","H3","V1",13,3,2
"466",26,"MICT","H3","V2",13,3,3
"467",26,"MICT","H3","V3",13,3,3
"468",26,"MICT","H3","V4",13,4,2
"469",14,"MICT","H4","V1",14,3,2
"470",14,"MICT","H4","V2",14,3,2
"471",14,"MICT","H4","V3",14,3,2
"472",14,"MICT","H4","V4",15,3,2
"473",15,"MICT","H4","V1",14,4,3
"474",15,"MICT","H4","V2",15,4,2
"475",15,"MICT","H4","V3",13,4,2
"476",15,"MICT","H4","V4",13,4,2
"477",16,"MICT","H4","V1",12,3,3
"478",16,"MICT","H4","V2",12,3,3
"479",16,"MICT","H4","V3",12,3,4
"480",16,"MICT","H4","V4",13,5,5
"481",17,"MICT","H4","V1",14,2,1
"482",17,"MICT","H4","V2",14,2,2
"483",17,"MICT","H4","V3",15,2,1
"484",17,"MICT","H4","V4",15,2,2
"485",18,"MICT","H4","V1",13,3,3
"486",18,"MICT","H4","V2",15,4,4
"487",18,"MICT","H4","V3",15,4,4
"488",18,"MICT","H4","V4",15,4,4
"489",19,"MICT","H4","V1",9,3,2
"490",19,"MICT","H4","V2",10,4,3
"491",19,"MICT","H4","V3",11,5,4
"492",19,"MICT","H4","V4",12,5,4
"493",20,"MICT","H4","V1",13,3,4
"494",20,"MICT","H4","V2",13,3,4
"495",20,"MICT","H4","V3",14,4,5
"496",20,"MICT","H4","V4",15,5,6
"497",21,"MICT","H4","V1",15,6,3
"498",21,"MICT","H4","V2",15,7,3
"499",21,"MICT","H4","V3",16,7,3
"500",21,"MICT","H4","V4",16,7,3
"501",22,"MICT","H4","V1",11,3,3
"502",22,"MICT","H4","V2",11,3,3
"503",22,"MICT","H4","V3",13,4,3
"504",22,"MICT","H4","V4",15,6,4
"505",23,"MICT","H4","V1",13,2,2
"506",23,"MICT","H4","V2",13,2,2
"507",23,"MICT","H4","V3",13,3,1
"508",23,"MICT","H4","V4",14,4,2
"509",24,"MICT","H4","V1",13,5,2
"510",24,"MICT","H4","V2",14,6,2
"511",24,"MICT","H4","V3",15,6,2
"512",24,"MICT","H4","V4",16,7,2
"513",25,"MICT","H4","V1",16,7,7
"514",25,"MICT","H4","V2",16,7,7
"515",25,"MICT","H4","V3",17,7,7
"516",25,"MICT","H4","V4",18,8,8
"517",26,"MICT","H4","V1",13,2,2
"518",26,"MICT","H4","V2",13,3,2
"519",26,"MICT","H4","V3",13,2,3
"520",26,"MICT","H4","V4",13,3,3
"521",14,"MICT","H5","V1",13,2,2
"522",14,"MICT","H5","V2",13,3,2
"523",14,"MICT","H5","V3",13,2,3
"524",14,"MICT","H5","V4",13,3,3
"525",15,"MICT","H5","V1",15,5,3
"526",15,"MICT","H5","V2",15,4,3
"527",15,"MICT","H5","V3",14,3,2
"528",15,"MICT","H5","V4",13,3,2
"529",16,"MICT","H5","V1",13,4,4
"530",16,"MICT","H5","V2",13,5,4
"531",16,"MICT","H5","V3",15,5,5
"532",16,"MICT","H5","V4",14,5,5
"533",17,"MICT","H5","V1",12,1,1
"534",17,"MICT","H5","V2",13,1,1
"535",17,"MICT","H5","V3",14,1,1
"536",17,"MICT","H5","V4",14,2,1
"537",18,"MICT","H5","V1",13,3,3
"538",18,"MICT","H5","V2",14,4,4
"539",18,"MICT","H5","V3",14,4,4
"540",18,"MICT","H5","V4",15,5,5
"541",19,"MICT","H5","V1",8,2,1
"542",19,"MICT","H5","V2",9,4,2
"543",19,"MICT","H5","V3",11,4,3
"544",19,"MICT","H5","V4",12,4,3
"545",20,"MICT","H5","V1",13,3,4
"546",20,"MICT","H5","V2",14,4,4
"547",20,"MICT","H5","V3",14,5,5
"548",20,"MICT","H5","V4",15,5,5
"549",21,"MICT","H5","V1",15,8,3
"550",21,"MICT","H5","V2",15,7,3
"551",21,"MICT","H5","V3",16,7,3
"552",21,"MICT","H5","V4",16,6,3
"553",22,"MICT","H5","V1",11,3,3
"554",22,"MICT","H5","V2",11,3,3
"555",22,"MICT","H5","V3",13,4,4
"556",22,"MICT","H5","V4",13,4,4
"557",23,"MICT","H5","V1",12,2,1
"558",23,"MICT","H5","V2",12,2,1
"559",23,"MICT","H5","V3",12,3,1
"560",23,"MICT","H5","V4",13,3,1
"561",24,"MICT","H5","V1",15,6,2
"562",24,"MICT","H5","V2",15,6,2
"563",24,"MICT","H5","V3",15,6,2
"564",24,"MICT","H5","V4",16,7,2
"565",25,"MICT","H5","V1",15,5,5
"566",25,"MICT","H5","V2",16,6,7
"567",25,"MICT","H5","V3",16,6,7
"568",25,"MICT","H5","V4",17,8,8
"569",26,"MICT","H5","V1",13,3,2
"570",26,"MICT","H5","V2",13,3,2
"571",26,"MICT","H5","V3",13,3,2
"572",26,"MICT","H5","V4",15,4,3
"573",14,"MICT","H6","V1",14,4,3
"574",14,"MICT","H6","V2",13,3,2
"575",14,"MICT","H6","V3",13,3,2
"576",14,"MICT","H6","V4",15,5,3
"577",15,"MICT","H6","V1",14,4,3
"578",15,"MICT","H6","V2",13,3,2
"579",15,"MICT","H6","V3",13,3,2
"580",15,"MICT","H6","V4",15,5,3
"581",16,"MICT","H6","V1",12,3,3
"582",16,"MICT","H6","V2",13,4,4
"583",16,"MICT","H6","V3",14,5,4
"584",16,"MICT","H6","V4",14,5,5
"585",17,"MICT","H6","V1",12,1,1
"586",17,"MICT","H6","V2",12,1,1
"587",17,"MICT","H6","V3",13,1,1
"588",17,"MICT","H6","V4",13,2,1
"589",18,"MICT","H6","V1",13,3,3
"590",18,"MICT","H6","V2",14,3,3
"591",18,"MICT","H6","V3",15,4,4
"592",18,"MICT","H6","V4",15,4,4
"593",19,"MICT","H6","V1",8,2,1
"594",19,"MICT","H6","V2",9,3,2
"595",19,"MICT","H6","V3",10,4,3
"596",19,"MICT","H6","V4",10,4,3
"597",20,"MICT","H6","V1",13,4,4
"598",20,"MICT","H6","V2",14,5,4
"599",20,"MICT","H6","V3",15,5,5
"600",20,"MICT","H6","V4",15,5,6
"601",21,"MICT","H6","V1",15,6,4
"602",21,"MICT","H6","V2",15,6,4
"603",21,"MICT","H6","V3",15,7,4
"604",21,"MICT","H6","V4",15,7,4
"605",22,"MICT","H6","V1",11,2,2
"606",22,"MICT","H6","V2",11,3,2
"607",22,"MICT","H6","V3",13,3,3
"608",22,"MICT","H6","V4",13,4,3
"609",23,"MICT","H6","V1",12,2,1
"610",23,"MICT","H6","V2",12,3,1
"611",23,"MICT","H6","V3",13,5,1
"612",23,"MICT","H6","V4",13,3,1
"613",24,"MICT","H6","V1",13,4,1
"614",24,"MICT","H6","V2",13,4,1
"615",24,"MICT","H6","V3",14,5,1
"616",24,"MICT","H6","V4",14,6,1
"617",25,"MICT","H6","V1",13,6,5
"618",25,"MICT","H6","V2",15,6,6
"619",25,"MICT","H6","V3",16,7,7
"620",25,"MICT","H6","V4",16,7,8
"621",26,"MICT","H6","V1",13,2,2
"622",26,"MICT","H6","V2",13,2,2
"623",26,"MICT","H6","V3",13,2,2
"624",26,"MICT","H6","V4",13,3,2
